MSZoning,LotArea,Street,LandContour,Utilities,HouseStyle,YearBuilt,TotalBsmtSF,CentralAir,Electrical,1stFlrSF,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,MoSold,YrSold,SalePrice
RL,8450,PAVE,LVL,ALLPUB,2STORY,2003,856,Y,SBRKR,856,2.0,1,3,1,8,0,2,2,2008,208500
RL,9600,PAVE,LVL,ALLPUB,1STORY,1976,1262,Y,SBRKR,1262,2.0,0,3,1,6,1,2,5,2007,181500
RL,11250,PAVE,LVL,ALLPUB,2STORY,2001,920,Y,SBRKR,920,2.0,1,3,1,6,1,2,9,2008,223500
RL,9550,PAVE,LVL,ALLPUB,2STORY,1915,756,Y,SBRKR,961,1.0,0,3,1,7,1,3,2,2006,140000
RL,14260,PAVE,LVL,ALLPUB,2STORY,2000,1145,Y,UNKNOWN,1145,2.0,1,4,1,9,1,3,12,2008,250000
RL,14115,PAVE,LVL,ALLPUB,1.5FIN,1993,796,Y,SBRKR,796,1.0,1,1,1,5,0,2,10,2009,143000
RL,10084,PAVE,LVL,ALLPUB,1STORY,2004,1686,Y,SBRKR,1694,2.0,0,3,1,7,1,2,8,2007,307000
RL,10382,PAVE,LVL,ALLPUB,2STORY,1973,1107,Y,SBRKR,1107,2.0,1,3,1,7,2,2,11,2009,200000
RM,6120,PAVE,LVL,ALLPUB,1.5FIN,1931,952,Y,FUSEF,1022,2.0,0,2,2,8,2,2,4,2008,129900
RL,7420,PAVE,LVL,ALLPUB,1.5UNF,1939,991,Y,SBRKR,1077,1.0,0,2,2,5,2,1,1,2008,118000
RL,11200,PAVE,LVL,ALLPUB,1STORY,1965,1040,Y,SBRKR,1040,-1.0,0,3,1,5,0,1,2,2008,129500
RL,11924,PAVE,LVL,ALLPUB,2STORY,2005,1175,Y,SBRKR,1182,3.0,0,4,1,11,2,3,7,2006,345000
RL,12968,PAVE,LVL,ALLPUB,1STORY,1962,912,Y,SBRKR,912,1.0,0,2,1,4,0,1,9,2008,144000
RL,10652,PAVE,LVL,ALLPUB,1STORY,2006,1494,Y,SBRKR,1494,2.0,0,3,1,7,1,3,8,2007,279500
RL,10920,PAVE,LVL,ALLPUB,1STORY,1960,1253,Y,SBRKR,1253,1.0,1,2,1,5,1,1,5,2008,157000
RM,6120,PAVE,LVL,ALLPUB,1.5UNF,1929,832,Y,FUSEA,854,1.0,0,2,1,5,0,2,7,2007,132000
RL,11241,PAVE,LVL,ALLPUB,1STORY,1970,1004,Y,SBRKR,1004,1.0,0,2,1,5,1,2,3,2010,149000
RL,10791,PAVE,LVL,ALLPUB,1STORY,1967,0,Y,SBRKR,1296,2.0,0,2,2,6,0,2,10,2006,90000
RL,13695,PAVE,LVL,ALLPUB,1STORY,2004,1114,Y,UNKNOWN,1114,1.0,1,3,1,6,0,2,6,2008,159000
RL,7560,PAVE,LVL,ALLPUB,1STORY,1958,1029,Y,SBRKR,1339,1.0,0,3,1,6,0,1,5,2009,139000
RL,14215,PAVE,LVL,ALLPUB,2STORY,2005,1158,Y,SBRKR,1158,3.0,1,4,1,9,1,3,11,2006,325300
RM,7449,PAVE,BNK,ALLPUB,1.5UNF,1930,637,Y,FUSEF,1108,1.0,0,3,1,6,1,1,6,2007,139400
RL,9742,PAVE,LVL,ALLPUB,1STORY,2002,1777,Y,SBRKR,1795,2.0,0,3,1,7,1,2,9,2008,230000
RM,4224,PAVE,LVL,ALLPUB,1STORY,1976,1040,Y,SBRKR,1060,1.0,0,3,1,6,1,2,6,2007,129900
RL,8246,PAVE,LVL,ALLPUB,1STORY,1968,1060,Y,SBRKR,1060,1.0,0,3,1,6,1,1,5,2010,154000
RL,14230,PAVE,LVL,ALLPUB,1STORY,2007,1566,Y,SBRKR,1600,2.0,0,3,1,7,1,3,7,2009,256300
RL,7200,PAVE,LVL,ALLPUB,1STORY,1951,900,Y,SBRKR,900,1.0,0,3,1,5,0,2,5,2010,134800
RL,11478,PAVE,LVL,ALLPUB,1STORY,2007,1704,Y,SBRKR,1704,2.0,0,3,1,7,1,3,5,2010,306000
RL,16321,PAVE,LVL,ALLPUB,1STORY,1957,1484,Y,SBRKR,1600,1.0,0,2,1,6,2,1,12,2006,207500
RM,6324,PAVE,LVL,ALLPUB,1STORY,1927,520,N,SBRKR,520,1.0,0,1,1,4,0,1,5,2008,68500
C (ALL),8500,PAVE,LVL,ALLPUB,2STORY,1920,649,N,SBRKR,649,1.0,0,3,1,6,0,1,7,2008,40000
RL,8544,PAVE,LVL,ALLPUB,1STORY,1966,1228,Y,SBRKR,1228,1.0,1,3,1,6,0,1,6,2008,149350
RL,11049,PAVE,LVL,ALLPUB,1STORY,2007,1234,Y,SBRKR,1234,2.0,0,3,1,7,0,2,1,2008,179900
RL,10552,PAVE,LVL,ALLPUB,1STORY,1959,1398,Y,SBRKR,1700,1.0,1,4,1,6,1,2,4,2010,165500
RL,7313,PAVE,LVL,ALLPUB,1STORY,2005,1561,Y,SBRKR,1561,2.0,0,2,1,6,1,2,8,2007,277500
RL,13418,PAVE,LVL,ALLPUB,2STORY,2004,1117,Y,SBRKR,1132,3.0,1,4,1,9,1,3,9,2006,309000
RL,10859,PAVE,LVL,ALLPUB,1STORY,1994,1097,Y,SBRKR,1097,1.0,1,3,1,6,0,2,6,2009,145000
RL,8532,PAVE,LVL,ALLPUB,1STORY,1954,1297,Y,SBRKR,1297,1.0,0,3,1,5,1,2,10,2009,153000
RL,7922,PAVE,LVL,ALLPUB,1STORY,1953,1057,Y,SBRKR,1057,1.0,0,3,1,5,0,1,1,2010,109000
RL,6040,PAVE,LVL,ALLPUB,1STORY,1955,0,N,FUSEP,1152,2.0,0,2,2,6,0,0,6,2008,82000
RL,8658,PAVE,LVL,ALLPUB,1STORY,1965,1088,Y,SBRKR,1324,2.0,0,3,1,6,1,2,12,2006,160000
